"subject"	"Liking_2"	"Expect_2neg"	"Expect_2pos"	"Liking_1"	"Expect_1neg"	"Expect_1pos"	"instructionclarity"	"instructionbelief"	"US1val"	"US2val"	"Group"	"IATorder"	"CSneg"	"valence"	"memory1_response"	"memory2_response"	"concorr"	"memory1_2_response"	"memory2_2_response"	"concorr2"	"expl1_response"	"expl2_response"
"180"	726	0	1	9	0	8	2	6	7	-4	5	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Bad/good and Morag "	"Bad/good Struan"
"181"	736	-8	8	1	10	1	9	3	4	-5	0	0	2	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Bad"	"Good"
"182"	737	0	1	9	0	8	1	9	9	-5	0	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"None, I did not think about it in that way. I cleared my mind and just focused intently on the screen."	"None, I did not think about it in that way. I cleared my mind and just focused intently on the screen."
"183"	739	5	5	5	5	5	5	9	9	-5	4	3	1	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I DID NOT USE ANY SPECIAL OR SPECIFICS IN ORDER TO REMEMBER.."	"I DID NOT USE ANY SPECIAL OR SPECIFICS IN ORDER TO REMEMBER.."
"184"	743	0	1	1	0	7	1	8	8	-4	5	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"I did not use this. Just alphabetical response. So Struan being after Morag so I chose right and not left when the word appeared. Reversed this to match the changes in the insturctions."	"I used the same method as above. I did not refer to the sounds at all."
"185"	759	0	9	1	0	8	4	9	9	-5	1	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Straining for the negative"	"Mellow positive"
"186"	761	5	1	8	9	8	1	9	9	-5	4	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"Loud, shocking"	"Happy, funny"
"187"	769	0	1	1	0	8	8	9	9	-5	3	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"a young women screaming"	"a baby laughing or playing"
"188"	772	0	5	5	0	5	5	9	9	-5	5	4	2	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"struan bad"	"morag good"
"189"	773	0	5	5	0	5	5	9	9	-5	5	5	1	1	2	"Always followed by the UNPLEASANT sound"	"8 times followed by the PLEASANT sound, twice not followed by any sound"	0	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"morag good"	"struan bad"
"190"	774	0	7	3	0	8	1	8	8	-5	4	6	2	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Happy awfull"	"happy fantastic"
"191"	776	0	7	1	0	5	8	9	9	-2	-3	0	2	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"i did not do this"	"i did not do this"
"192"	777	0	2	3	0	7	2	7	9	-5	2	1	1	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"Bad, scary, terrifying, nasty."	"Happy, positive, nice, fantastic."
"193"	778	8	7	8	9	5	5	6	6	-4	5	2	2	1	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I'm not sure"	"I'm not sure"
"194"	779	0	8	1	0	1	9	9	9	-5	5	3	1	2	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"8 times followed by the FIRST sound, twice not followed by any sound"	"Always followed by the SECOND sound"	1	"I used the word right or left depending on which side of the screen it appeared "	"I used the word right or left depending on which side of the screen it appeared "
"195"	781	1	5	5	-8	8	1	8	9	-5	3	5	1	1	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"I paired the word Morag with a scream which makes it bad in my mind."	"I paired the word Struan with laughter to make it seem good in my mind."
"196"	792	0	7	7	0	1	7	7	7	-3	-1	0	2	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"screech"	"baby"
"197"	816	0	1	5	0	7	2	6	9	-3	3	0	2	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	""	""
"198"	823	6	1	8	0	3	7	6	7	-4	3	7	1	2	2	"8 times followed by the UNPLEASANT sound, twice not followed by any sound"	"Always followed by the PLEASANT sound"	1	"Always followed by the UNPLEASANT sound"	"8 times followed by the PLEASANT sound, twice not followed by any sound"	0	"I didn't refer to this sound with any words at the time."	"Witch"
